gene_id,FC_DENV,padj_DENV,FC_ZIKV,padj_ZIKV,category
ENSG00000000003,-0.33164334225461756,0.230441886228389,0.12641185019029524,0.8026295812747583,Other
ENSG00000000419,-0.5176320808856476,0.06515909850751558,0.1123021118710254,0.8396351396929864,Other
ENSG00000000457,-0.3301363222778792,0.5152463196478475,0.26223075384895117,0.7814264578632533,Other
ENSG00000000460,-0.8992645757005344,0.02818563598480254,0.4542770837527029,0.24616471867393594,Other
ENSG00000000938,-0.6508407524410634,,-0.5571824418140819,,Other
ENSG00000000971,-0.7494832143655253,0.06807775954121853,0.2860623200586025,0.6262868354221915,Other
ENSG00000001036,-0.1285712120990482,0.6931433966581303,0.13253928392803793,0.7956270866534901,Other
ENSG00000001084,-0.07808021202961846,0.9000882069727285,0.4070677720758941,0.47730663742677587,Other
ENSG00000001167,-0.36802295998082035,0.2974472507235751,-0.2521668227940474,0.7006840555315683,Other
ENSG00000001460,0.4487293119444944,0.3203441149936875,-0.06297366800016076,0.9688219838763552,Other
ENSG00000001461,1.041742627998869,0.0007214623426282371,0.32519252004223864,0.6386619711905898,Other
ENSG00000001497,0.006415625267859524,0.9899706061818264,-0.15059275713349543,0.7626018775571566,Other
ENSG00000001561,-0.5061667467179133,0.3942995805893497,-0.11535846773824868,0.9431219153166673,Other
ENSG00000001617,-0.04761699867900723,,1.1125395350875271,0.6070136281125039,Other
ENSG00000001626,0.35432181632476756,0.540034083832401,-0.1485776396792414,0.9232343553138667,Other
ENSG00000001629,0.22523602968301829,0.6169837031159291,0.09677505723467722,0.9267410398926083,Other
ENSG00000001630,0.18662569206652488,0.6012137461220425,-0.0708730784134038,0.9203524562289281,Other
ENSG00000001631,-0.19027032518677142,0.6676851866587776,0.332789722725577,0.5350940076812736,Other
ENSG00000002016,0.2806337968371503,0.5118276411620641,0.3235986086478567,0.6270597698503045,Other
ENSG00000002079,-0.12746169162351317,,-0.23676656911723148,0.9433363901974889,Other
ENSG00000002330,0.36321447782405614,0.332696011187732,-0.34795027265456824,0.5700026636237577,Other
ENSG00000002549,-0.021998718464435952,0.9631986245407184,0.013750831776350017,0.9847737963982597,Other
ENSG00000002586,0.3405029922416532,0.33051887660545476,-0.18229462796640117,0.7284854125708495,Other
ENSG00000002587,1.1655578012346957,,1.732003499320072,0.23423924393473072,Other
ENSG00000002726,3.5550433831591364,,-0.6736877236367637,,Other
ENSG00000002746,-0.009782774649778099,0.9923871732158408,-0.6140805581993539,0.7538017555940904,Other
ENSG00000002822,-0.09553770905275276,0.8324305746939233,0.23285094245378388,0.7313079543532839,Other
ENSG00000002834,0.2520256177235925,0.46518877308063905,-0.20965170151508752,0.7046259423069474,Other
ENSG00000002919,-0.22349045037621498,0.61478758925723,0.22711029402748167,0.7502981250954526,Other
ENSG00000002933,0.730320019310646,0.3380855167182303,-1.0101838508442915,0.5352269864204392,Other
