gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000000003,13265.897072078413,-0.33164334225461756,0.175237397352997,-1.8925374792377079,0.058419404912757864,0.230441886228389,DENV_vs_Control
ENSG00000000419,5201.158275049889,-0.5176320808856476,0.19415015227524549,-2.6661430589650204,0.007672703522294689,0.06515909850751558,DENV_vs_Control
ENSG00000000457,285.2719964551679,-0.3301363222778792,0.28415337865519813,-1.1618243775256265,0.24530680979532438,0.5152463196478475,DENV_vs_Control
ENSG00000000460,601.5497256843885,-0.8992645757005344,0.29128060357767593,-3.0872792923910812,0.002019977109713014,0.02818563598480254,DENV_vs_Control
ENSG00000000938,1.9620734598897096,-0.6508407524410634,3.3960239563755517,-0.19164786844898504,0.848018043845646,,DENV_vs_Control
ENSG00000000971,548.7994027727373,-0.7494832143655253,0.28349965476999167,-2.6436829878103185,0.008200942394336974,0.06807775954121853,DENV_vs_Control
ENSG00000001036,24608.168037331852,-0.1285712120990482,0.16430718051930893,-0.7825051327196189,0.43391777008863686,0.6931433966581303,DENV_vs_Control
ENSG00000001084,442.7405705222884,-0.07808021202961846,0.2544203325808035,-0.30689454430620366,0.7589236418417633,0.9000882069727285,DENV_vs_Control
ENSG00000001167,901.6361863920329,-0.36802295998082035,0.2183447841595054,-1.6855129441149002,0.09188964957816419,0.2974472507235751,DENV_vs_Control
ENSG00000001460,266.77703926726804,0.4487293119444944,0.2772456089150998,1.6185263084974866,0.10554922181774494,0.3203441149936875,DENV_vs_Control
ENSG00000001461,541.0614158756264,1.041742627998869,0.23408725226125277,4.450232201607602,8.57774948040393e-06,0.0007214623426282371,DENV_vs_Control
ENSG00000001497,4404.555916046927,0.006415625267859524,0.19936222098227968,0.03218074736652225,0.9743279096025593,0.9899706061818264,DENV_vs_Control
ENSG00000001561,146.97343253629344,-0.5061667467179133,0.35200386287679086,-1.4379579319988394,0.1504459906836274,0.3942995805893497,DENV_vs_Control
ENSG00000001617,14.326484328236955,-0.04761699867900723,0.8878399362117304,-0.05363241361070248,0.9572280313406231,,DENV_vs_Control
ENSG00000001626,272.7292477009909,0.35432181632476756,0.31977031202166417,1.108051007251613,0.2678397878593203,0.540034083832401,DENV_vs_Control
ENSG00000001629,515.3471212784185,0.22523602968301829,0.23814817012220116,0.9457810638118394,0.34426026587735037,0.6169837031159291,DENV_vs_Control
ENSG00000001630,1523.7976557443217,0.18662569206652488,0.19055451141655586,0.9793821761509361,0.32739118055807037,0.6012137461220425,DENV_vs_Control
ENSG00000001631,728.8694416813338,-0.19027032518677142,0.2270487151959961,-0.8380154233531939,0.40202204134841735,0.6676851866587776,DENV_vs_Control
ENSG00000002016,409.83828331056185,0.2806337968371503,0.24020337692619956,1.1683174501055105,0.24267873907732795,0.5118276411620641,DENV_vs_Control
ENSG00000002079,25.195015735124606,-0.12746169162351317,0.7741202829296217,-0.16465360026627957,0.8692166400154666,,DENV_vs_Control
ENSG00000002330,1244.593256203987,0.36321447782405614,0.22901021326210513,1.5860186873340558,0.11273507049777019,0.332696011187732,DENV_vs_Control
ENSG00000002549,10446.72243429798,-0.021998718464435952,0.1770791259580788,-0.12423100885218887,0.901132370894865,0.9631986245407184,DENV_vs_Control
ENSG00000002586,5067.831408945095,0.3405029922416532,0.21380032363865986,1.5926215005040463,0.11124512724340414,0.33051887660545476,DENV_vs_Control
ENSG00000002587,23.379787433428845,1.1655578012346957,0.7460229074851711,1.5623619456455682,0.11820274654027123,,DENV_vs_Control
ENSG00000002726,6.999348164725777,3.5550433831591364,1.7737857664790528,2.0042123746521328,0.04504731554832554,,DENV_vs_Control
ENSG00000002745,1.3447146585883654,0.9680601617969955,2.984508464117176,0.3243616741034607,0.7456642321331102,,DENV_vs_Control
ENSG00000002746,84.29292961550996,-0.009782774649778099,0.4608910875579016,-0.021225783951721765,0.9830655462944554,0.9923871732158408,DENV_vs_Control
ENSG00000002822,1090.4719602580763,-0.09553770905275276,0.20374801243316285,-0.4689013056463203,0.6391401830097101,0.8324305746939233,DENV_vs_Control
ENSG00000002834,1874.3155614918428,0.2520256177235925,0.19786138799649486,1.2737483562384448,0.20275261299094516,0.46518877308063905,DENV_vs_Control
ENSG00000002919,704.1262655309026,-0.22349045037621498,0.23470645747341937,-0.9522126181872324,0.340989162929511,0.61478758925723,DENV_vs_Control
ENSG00000002933,71.00423299249213,0.730320019310646,0.46410525275644454,1.5736086048866744,0.11557796268735274,0.3380855167182303,DENV_vs_Control
