gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000000003,12776.160180549832,0.12641185019029524,0.15783517196472216,0.8009105234069732,0.42318344744951186,0.8026295812747583,ZIKV_vs_Control
ENSG00000000419,5216.8490587482065,0.1123021118710254,0.16276424306909884,0.689967954591534,0.49021433975318096,0.8396351396929864,ZIKV_vs_Control
ENSG00000000457,291.8333170594978,0.26223075384895117,0.3059699513300131,0.8570474084434333,0.39141868449734174,0.7814264578632533,ZIKV_vs_Control
ENSG00000000460,766.8979661279477,0.4542770837527029,0.19536695659229564,2.325250347737758,0.020058577591601887,0.24616471867393594,ZIKV_vs_Control
ENSG00000000938,1.5450669472234295,-0.5571824418140819,3.8108881472558025,-0.14620802822966755,0.8837571680574186,,ZIKV_vs_Control
ENSG00000000971,627.9137071743565,0.2860623200586025,0.2214381026861966,1.2918387422420516,0.1964129954489251,0.6262868354221915,ZIKV_vs_Control
ENSG00000001036,22363.580620934932,0.13253928392803793,0.16172375979338655,0.8195411985064297,0.4124777065824591,0.7956270866534901,ZIKV_vs_Control
ENSG00000001084,438.9243884124517,0.4070677720758941,0.24218283606832405,1.6808283307123097,0.09279626404835664,0.47730663742677587,ZIKV_vs_Control
ENSG00000001167,772.3883141318001,-0.2521668227940474,0.2304633840169943,-1.09417304562122,0.27387909076600647,0.7006840555315683,ZIKV_vs_Control
ENSG00000001460,185.24857397876997,-0.06297366800016076,0.331720382984099,-0.189839609594263,0.8494348162823215,0.9688219838763552,ZIKV_vs_Control
ENSG00000001461,323.7681892424596,0.32519252004223864,0.25827028781777994,1.2591170389358726,0.20798806087781796,0.6386619711905898,ZIKV_vs_Control
ENSG00000001497,3423.255284769253,-0.15059275713349543,0.16468162753591647,-0.9144478311683657,0.3604815784116179,0.7626018775571566,ZIKV_vs_Control
ENSG00000001561,136.57496260544562,-0.11535846773824868,0.3963457348555894,-0.29105515107985236,0.7710091399171778,0.9431219153166673,ZIKV_vs_Control
ENSG00000001617,19.36260726388221,1.1125395350875271,0.8308267294221813,1.3390752797051557,0.18054616714294025,0.6070136281125039,ZIKV_vs_Control
ENSG00000001626,189.63809106091878,-0.1485776396792414,0.38381189009228067,-0.38711057034611035,0.6986743525192121,0.9232343553138667,ZIKV_vs_Control
